cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
259.000000,48323.000000,0.54,11.000000,48409.000000,0.02,0.030000
242.000000,46763.000000,0.52,12.000000,46862.000000,0.03,0.030000
386.000000,48428.000000,0.80,19.000000,49916.000000,0.04,0.029000
509.000000,48574.000000,1.05,20.000000,49939.000000,0.04,0.027000
542.000000,48608.000000,1.12,16.000000,48411.000000,0.03,0.027000
539.000000,47060.000000,1.15,9.000000,46863.000000,0.02,0.030000
729.000000,48794.000000,1.49,16.000000,49934.000000,0.03,0.030000
690.000000,47211.000000,1.46,13.000000,46866.000000,0.03,0.030000
853.000000,48919.000000,1.74,10.000000,48410.000000,0.02,0.031000
1576.000000,49640.000000,3.17,22.000000,49930.000000,0.04,0.035000
1018.000000,49056.000000,2.08,14.000000,49911.000000,0.03,0.030000
1118.000000,49184.000000,2.27,15.000000,49934.000000,0.03,0.030000
1149.000000,49216.000000,2.33,16.000000,49937.000000,0.03,0.030000
1240.000000,49306.000000,2.51,16.000000,49937.000000,0.03,0.027000
1272.000000,49338.000000,2.58,9.000000,48408.000000,0.02,0.029000
1322.000000,49388.000000,2.68,18.000000,49930.000000,0.04,0.030000
1413.000000,49477.000000,2.86,15.000000,49934.000000,0.03,0.027000
1439.000000,49481.000000,2.91,15.000000,49901.000000,0.03,0.027000
1418.000000,49482.000000,2.87,17.000000,49936.000000,0.03,0.027000
1758.000000,49823.000000,3.53,20.000000,49911.000000,0.04,0.074000
1550.000000,49616.000000,3.12,14.000000,48414.000000,0.03,0.027000
1545.000000,49609.000000,3.11,14.000000,48411.000000,0.03,0.031000
1564.000000,49606.000000,3.15,10.000000,48387.000000,0.02,0.030000
1641.000000,49683.000000,3.30,12.000000,48388.000000,0.02,0.040000
1684.000000,49726.000000,3.39,18.000000,49915.000000,0.04,0.030000
1570.000000,48091.000000,3.26,10.000000,46864.000000,0.02,0.032000
1680.000000,49746.000000,3.38,18.000000,49928.000000,0.04,0.027000
1737.000000,49798.000000,3.49,16.000000,49931.000000,0.03,0.027000
1743.000000,49807.000000,3.50,15.000000,48414.000000,0.03,0.027000
1742.000000,49808.000000,3.50,16.000000,49926.000000,0.03,0.027000
1682.000000,48203.000000,3.49,11.000000,46853.000000,0.02,0.027000
1723.000000,48244.000000,3.57,11.000000,46866.000000,0.02,0.028000
1740.000000,48261.000000,3.61,13.000000,46853.000000,0.03,0.030000
1838.000000,49885.000000,3.68,13.000000,48392.000000,0.03,0.030000
1803.000000,49845.000000,3.62,16.000000,49913.000000,0.03,0.030000
1875.000000,49924.000000,3.76,12.000000,48386.000000,0.02,0.028000
1831.000000,49873.000000,3.67,13.000000,48383.000000,0.03,0.027000
1868.000000,49932.000000,3.74,14.000000,48407.000000,0.03,0.031000
1869.000000,49916.000000,3.74,11.000000,48392.000000,0.02,0.027000
1810.000000,48327.000000,3.75,11.000000,46867.000000,0.02,0.027000
1857.000000,49899.000000,3.72,11.000000,48371.000000,0.02,0.029000
1934.000000,49976.000000,3.87,20.000000,49917.000000,0.04,0.027000
1928.000000,49994.000000,3.86,13.000000,48413.000000,0.03,0.029000
1906.000000,49948.000000,3.82,16.000000,49919.000000,0.03,0.029000
1913.000000,49978.000000,3.83,15.000000,49934.000000,0.03,0.032000
1911.000000,49953.000000,3.83,15.000000,48380.000000,0.03,0.030000
1993.000000,50059.000000,3.98,13.000000,48408.000000,0.03,0.027000
1994.000000,50060.000000,3.98,11.000000,48412.000000,0.02,0.030000
1984.000000,50026.000000,3.97,14.000000,49915.000000,0.03,0.028000
1906.000000,48427.000000,3.94,11.000000,46866.000000,0.02,0.027000
2006.000000,50070.000000,4.01,15.000000,48415.000000,0.03,0.027000
1962.000000,50000.000000,3.92,12.000000,48383.000000,0.02,0.027000
2017.000000,50060.000000,4.03,16.000000,49920.000000,0.03,0.031000
2192.000000,48709.000000,4.50,38.000000,46874.000000,0.08,0.073000
2044.000000,48565.000000,4.21,15.000000,46871.000000,0.03,0.043000
2007.000000,50049.000000,4.01,16.000000,48391.000000,0.03,0.030000
2006.000000,50067.000000,4.01,18.000000,48417.000000,0.04,0.030000
1948.000000,48465.000000,4.02,14.000000,46868.000000,0.03,0.030000
2034.000000,50099.000000,4.06,14.000000,48412.000000,0.03,0.031000
1977.000000,48498.000000,4.08,12.000000,46861.000000,0.03,0.031000
1959.000000,48480.000000,4.04,13.000000,46867.000000,0.03,0.030000
1951.000000,48472.000000,4.03,13.000000,46868.000000,0.03,0.027000
2036.000000,50101.000000,4.06,20.000000,49940.000000,0.04,0.028000
2049.000000,50113.000000,4.09,15.000000,48413.000000,0.03,0.028000
2153.000000,50218.000000,4.29,20.000000,49941.000000,0.04,0.053000
2083.000000,50149.000000,4.15,14.000000,48399.000000,0.03,0.029000
2036.000000,50078.000000,4.07,15.000000,48392.000000,0.03,0.027000
2085.000000,50149.000000,4.16,9.000000,48407.000000,0.02,0.028000
2071.000000,50113.000000,4.13,24.000000,49921.000000,0.05,0.027000
2080.000000,50144.000000,4.15,18.000000,49936.000000,0.04,0.028000
1981.000000,48502.000000,4.08,11.000000,46866.000000,0.02,0.027000
2164.000000,50230.000000,4.31,15.000000,48415.000000,0.03,0.027000
2243.000000,50285.000000,4.46,24.000000,49919.000000,0.05,0.051000
2083.000000,50147.000000,4.15,13.000000,48409.000000,0.03,0.052000
1975.000000,48496.000000,4.07,12.000000,46854.000000,0.03,0.027000
2076.000000,50118.000000,4.14,15.000000,48382.000000,0.03,0.028000
2175.000000,50217.000000,4.33,12.000000,48383.000000,0.02,0.030000
